id,item,vowel,language,f1_cent,f2_cent,tl,f1_20,f1_35,f1_50,f1_65,f1_80,f2_20,f2_35,f2_50,f2_65,f2_80
apv,meet,i,en,431.55,1395.01,5215.78,459.95,399.97,455.83,426.64,415.35,2344.59,727.79,2444.92,674.56,783.21
apv,beat,i,en,304.89,1866.02,5525.01,340.91,307.91,311.03,276.91,287.66,2362.31,1238.54,2414.35,834.91,2480.01
apv,feet,i,en,328.76,2194.84,696.32,336.54,329.51,362.44,291.52,323.79,2010.95,2231.94,2333.45,2346.27,2051.60
apv,seat,i,en,341.11,2297.86,225.02,354.49,370.79,318.64,355.61,306.02,2268.03,2305.15,2294.87,2338.29,2282.94
apv,heat,i,en,365.02,2004.63,2375.03,362.75,369.98,373.02,341.29,378.03,1066.08,2301.21,1862.47,2450.00,2343.41
apv,fleet,i,en,395.27,2341.64,288.48,370.58,388.03,356.55,400.65,460.54,2274.55,2340.85,2402.81,2330.96,2359.00
apv,moss,a,en,716.20,1040.77,250.05,688.90,744.02,766.30,699.55,682.23,976.36,990.10,1014.69,1078.70,1144.02
apv,bot,a,en,744.26,1158.73,247.64,700.22,731.39,778.36,767.49,743.84,1123.02,1137.68,1134.40,1124.50,1274.05
apv,fought,a,en,643.12,1052.98,313.81,559.52,613.83,649.96,683.73,708.56,935.81,971.99,1035.91,1120.38,1200.79
apv,sought,a,en,653.77,1069.05,443.52,603.28,667.12,636.37,684.85,677.25,990.11,961.21,992.39,1090.92,1310.63
apv,caught,a,en,656.78,1133.80,453.13,596.80,644.27,661.30,694.91,686.62,955.34,1001.70,1068.35,1260.49,1383.14
apv,brought,a,en,662.29,1141.47,327.00,603.83,639.54,669.71,693.17,705.19,1013.84,1075.32,1119.71,1181.38,1317.10
apv,moot,u,en,420.92,917.71,120.67,415.74,380.52,404.46,445.10,458.79,901.03,903.46,913.69,933.25,937.13
apv,boot,u,en,413.22,895.48,116.65,402.60,401.89,396.55,423.58,441.49,841.21,884.37,907.80,923.55,920.48
apv,food,u,en,463.07,921.07,191.03,427.13,404.05,508.63,496.13,479.42,867.52,877.45,934.34,961.43,964.61
apv,soothe,u,en,479.25,1177.15,448.30,461.03,465.26,495.34,485.68,488.96,1400.70,1099.70,1082.12,1110.34,1192.88
apv,cooed,u,en,406.23,970.08,237.10,372.04,359.17,400.13,428.08,471.73,929.92,921.19,950.98,956.37,1091.94
apv,dude,u,en,432.89,1051.02,353.68,403.65,419.95,412.23,437.93,490.67,1098.48,1029.95,973.07,980.85,1172.72
apv,mis,i,sp,433.56,1192.78,1985.95,412.98,413.25,424.76,450.38,466.45,861.85,979.64,1028.78,768.68,2324.93
apv,bis,i,sp,365.69,1604.33,1366.62,377.60,384.06,324.24,318.29,424.25,1709.29,1545.95,1352.90,1257.26,2156.25
apv,pis,i,sp,335.44,1499.59,531.42,366.47,340.81,300.32,327.98,341.62,1744.83,1669.36,1581.98,1271.80,1229.97
apv,cito,i,sp,379.03,1855.70,1619.30,392.46,388.42,376.21,377.15,360.89,2138.67,1844.61,1665.17,1383.33,2246.70
apv,fito,i,sp,410.84,1585.80,346.32,418.35,417.69,391.15,398.41,428.62,1728.55,1666.33,1499.13,1475.21,1559.78
apv,quito,i,sp,389.53,1456.18,430.81,369.06,380.70,405.05,402.77,390.07,1503.69,1581.83,1540.57,1417.65,1237.15
apv,mas,a,sp,778.88,1395.20,281.47,755.71,772.52,795.79,817.95,752.41,1383.27,1374.05,1408.40,1473.65,1336.61
apv,vas,a,sp,756.72,1355.10,214.62,763.66,750.80,759.80,739.05,770.29,1248.11,1323.67,1361.96,1395.98,1445.79
apv,pasa,a,sp,745.12,1318.32,157.95,725.49,737.46,742.74,751.75,768.13,1251.83,1280.82,1316.95,1338.82,1403.18
apv,sala,a,sp,734.04,1387.22,69.88,718.51,737.41,736.90,733.54,743.85,1368.35,1367.41,1385.64,1400.01,1414.71
apv,fama,a,sp,782.08,1357.31,237.40,741.90,768.24,791.09,815.45,793.71,1322.53,1359.73,1387.00,1416.59,1300.70
apv,cama,a,sp,742.65,1407.00,165.15,716.32,731.25,748.50,755.89,761.29,1481.95,1432.54,1420.29,1371.42,1328.81
apv,musa,u,sp,415.96,915.30,419.08,466.90,396.52,422.91,411.37,382.08,739.45,838.41,957.84,943.37,1097.42
apv,bulto,u,sp,403.84,810.03,164.96,382.73,381.98,396.12,421.92,436.43,738.13,748.96,802.54,868.23,892.30
apv,puso,u,sp,442.31,933.65,315.26,408.87,430.81,457.30,447.51,467.08,824.93,861.40,907.34,949.81,1124.80
apv,supo,u,sp,420.42,993.85,196.18,396.52,406.18,425.34,447.41,426.66,1049.95,1031.60,1036.65,963.98,887.05
apv,fumo,u,sp,434.37,844.88,118.84,410.72,420.77,441.07,438.58,460.70,821.35,851.12,871.49,861.99,818.45
apv,cura,u,sp,430.41,902.71,258.40,413.88,423.48,431.19,438.93,444.59,827.85,834.16,864.18,908.06,1079.33
